Jersey,Player,Position,Height,Class,Hometown
4,Mariah Anderson,G,6,Soph,Rock Island
5,Dejah Weathersby,G,5,Soph,Matteson
10,Isabelle Hille,G,5,Fresh,"Fort Wayne, IN"
12,TyAnn LeGrand-Melton,G/F,5,Soph,Lisle
13,Alexis Marin,G,5,Soph,Romeoville
15,Olivia Powell,G,5,Fresh,Cissna Park
20,Courtnee Riley,G/F,5,Fresh,Decatur
21,Bryanna Johnson,F,6,Fresh,Rockford
22,Paige Hacker,F,5-10,Soph,Seneca
23,Grace Schroeder,G/F,5-9,Soph,Gilman
25,Alandria Frison,G,5-9,Fresh,Evergreen Park
31,Meara Tilstra,F/C,6-1,Fresh,Onarga
